"compound","keggid","number","Pathway_Description"
"Pyruvate","C00022","hsa00010","Glycolysis / Gluconeogenesis"
"Acetyl-CoA","C00024","hsa00010","Glycolysis / Gluconeogenesis"
"D-Glucose","C00031","hsa00010","Glycolysis / Gluconeogenesis"
"Acetate","C00033","hsa00010","Glycolysis / Gluconeogenesis"
"Oxaloacetate","C00036","hsa00010","Glycolysis / Gluconeogenesis"
"Thiamin diphosphate","C00068","hsa00010","Glycolysis / Gluconeogenesis"
"Phosphoenolpyruvate","C00074","hsa00010","Glycolysis / Gluconeogenesis"
"Acetaldehyde","C00084","hsa00010","Glycolysis / Gluconeogenesis"
"D-Glucose 1-phosphate","C00103","hsa00010","Glycolysis / Gluconeogenesis"
"Glycerone phosphate","C00111","hsa00010","Glycolysis / Gluconeogenesis"
"D-Glyceraldehyde 3-phosphate","C00118","hsa00010","Glycolysis / Gluconeogenesis"
"(S)-Lactate","C00186","hsa00010","Glycolysis / Gluconeogenesis"
"3-Phospho-D-glycerate","C00197","hsa00010","Glycolysis / Gluconeogenesis"
"beta-D-Glucose","C00221","hsa00010","Glycolysis / Gluconeogenesis"
"3-Phospho-D-glyceroyl phosphate","C00236","hsa00010","Glycolysis / Gluconeogenesis"
"alpha-D-Glucose","C00267","hsa00010","Glycolysis / Gluconeogenesis"
"Ethanol","C00469","hsa00010","Glycolysis / Gluconeogenesis"
"2-Phospho-D-glycerate","C00631","hsa00010","Glycolysis / Gluconeogenesis"
"alpha-D-Glucose 6-phosphate","C00668","hsa00010","Glycolysis / Gluconeogenesis"
"2,3-Bisphospho-D-glycerate","C01159","hsa00010","Glycolysis / Gluconeogenesis"
"beta-D-Glucose 6-phosphate","C01172","hsa00010","Glycolysis / Gluconeogenesis"
"Salicin","C01451","hsa00010","Glycolysis / Gluconeogenesis"
"2-(alpha-Hydroxyethyl)thiamine diphosphate","C05125","hsa00010","Glycolysis / Gluconeogenesis"
"beta-D-Fructose 6-phosphate","C05345","hsa00010","Glycolysis / Gluconeogenesis"
"beta-D-Fructose 1,6-bisphosphate","C05378","hsa00010","Glycolysis / Gluconeogenesis"
"Arbutin","C06186","hsa00010","Glycolysis / Gluconeogenesis"
"Arbutin 6-phosphate","C06187","hsa00010","Glycolysis / Gluconeogenesis"
"Salicin 6-phosphate","C06188","hsa00010","Glycolysis / Gluconeogenesis"
"Enzyme N6-(lipoyl)lysine","C15972","hsa00010","Glycolysis / Gluconeogenesis"
"Enzyme N6-(dihydrolipoyl)lysine","C15973","hsa00010","Glycolysis / Gluconeogenesis"
"[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine","C16255","hsa00010","Glycolysis / Gluconeogenesis"
"Pyruvate","C00022","hsa00020","Citrate cycle (TCA cycle)"
"Acetyl-CoA","C00024","hsa00020","Citrate cycle (TCA cycle)"
"2-Oxoglutarate","C00026","hsa00020","Citrate cycle (TCA cycle)"
"Oxaloacetate","C00036","hsa00020","Citrate cycle (TCA cycle)"
"Succinate","C00042","hsa00020","Citrate cycle (TCA cycle)"
"Thiamin diphosphate","C00068","hsa00020","Citrate cycle (TCA cycle)"
"Phosphoenolpyruvate","C00074","hsa00020","Citrate cycle (TCA cycle)"
"Succinyl-CoA","C00091","hsa00020","Citrate cycle (TCA cycle)"
"Fumarate","C00122","hsa00020","Citrate cycle (TCA cycle)"
"(S)-Malate","C00149","hsa00020","Citrate cycle (TCA cycle)"
"Citrate","C00158","hsa00020","Citrate cycle (TCA cycle)"
"Isocitrate","C00311","hsa00020","Citrate cycle (TCA cycle)"
"cis-Aconitate","C00417","hsa00020","Citrate cycle (TCA cycle)"
"2-(alpha-Hydroxyethyl)thiamine diphosphate","C05125","hsa00020","Citrate cycle (TCA cycle)"
"Oxalosuccinate","C05379","hsa00020","Citrate cycle (TCA cycle)"
"3-Carboxy-1-hydroxypropyl-ThPP","C05381","hsa00020","Citrate cycle (TCA cycle)"
"Enzyme N6-(lipoyl)lysine","C15972","hsa00020","Citrate cycle (TCA cycle)"
"Enzyme N6-(dihydrolipoyl)lysine","C15973","hsa00020","Citrate cycle (TCA cycle)"
