class.x,subclass,number,Pathway_Description
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle)
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism
Metabolism,Lipid metabolism,hsa00061,Fatty acid biosynthesis
Metabolism,Lipid metabolism,hsa00062,Fatty acid elongation
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis
Metabolism,Lipid metabolism,hsa00120,Primary bile acid biosynthesis
Metabolism,Metabolism of cofactors and vitamins,hsa00130,Ubiquinone and other terpenoid
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation
Metabolism,Amino acid metabolism,hsa00220,Arginine biosynthesis
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism
Metabolism,Biosynthesis of other secondary metabolites,hsa00232,Caffeine metabolism
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism"
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism"
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation"
Metabolism,Amino acid metabolism,hsa00290,"Valine, leucine and isoleucine biosynthesis"
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism
Metabolism,Amino acid metabolism,hsa00360,Phenylalanine metabolism
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism
